scope,question,question_name,severity,severity_level,users,total_count,total_responses,pooled_ratio,mean_ratio,variance_ratio_population,variance_ratio_sample,stddev_ratio_population,mean_pct,variance_pct_population,stddev_pct_population,min_pct,max_pct
all_answers,Q1,label_exists,blank,-1,20,0,25402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_answers,Q1,label_exists,good,0,20,23583,25402,0.92839147,0.9285388,0.00045893,0.00048309,0.02142272,92.8539,4.589327,2.1423,87.4557,95.8333
all_answers,Q1,label_exists,soft,1,20,510,25402,0.02007716,0.02000947,0.00028331,0.00029822,0.01683172,2.0009,2.833068,1.6832,0.2232,7.2998
all_answers,Q1,label_exists,critical,2,20,1309,25402,0.05153138,0.05145173,0.00021517,0.00022649,0.01466857,5.1452,2.151671,1.4669,2.5168,8.0147
all_answers,Q2,mask_missing,blank,-1,20,0,25402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_answers,Q2,mask_missing,good,0,20,16928,25402,0.66640422,0.66658314,0.00252013,0.00265277,0.0502009,66.6583,25.201301,5.0201,59.726,76.2649
all_answers,Q2,mask_missing,soft,1,20,6152,25402,0.24218565,0.24058984,0.00197807,0.00208218,0.04447546,24.059,19.780663,4.4475,17.6174,33.4932
all_answers,Q2,mask_missing,critical,2,20,2322,25402,0.09141013,0.09282702,0.0013232,0.00139284,0.03637584,9.2827,13.232016,3.6376,4.7546,18.6069
all_answers,Q3,mask_extra,blank,-1,20,0,25402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_answers,Q3,mask_extra,good,0,20,20830,25402,0.82001417,0.8198324,0.00156484,0.0016472,0.03955804,81.9832,15.648388,3.9558,73.7595,90.0356
all_answers,Q3,mask_extra,soft,1,20,3915,25402,0.15412172,0.15368529,0.00118474,0.00124709,0.03441998,15.3685,11.847353,3.442,7.9051,19.6817
all_answers,Q3,mask_extra,critical,2,20,657,25402,0.02586411,0.02648231,0.00053524,0.00056342,0.02313535,2.6482,5.352446,2.3135,0.2669,9.17
all_answers,Q4,instance_separation,blank,-1,20,0,25402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_answers,Q4,instance_separation,good,0,20,21703,25402,0.85438154,0.8532222,0.00630178,0.00663346,0.07938378,85.3222,63.017847,7.9384,69.4656,94.6429
all_answers,Q4,instance_separation,soft,1,20,3097,25402,0.12191953,0.12212282,0.00362255,0.00381321,0.06018763,12.2123,36.225513,6.0188,4.8363,23.4559
all_answers,Q4,instance_separation,critical,2,20,602,25402,0.02369892,0.02465499,0.00074249,0.00078157,0.02724861,2.4655,7.424868,2.7249,0.2171,11.355
all_answers,Q5,mask_quality,blank,-1,20,0,25402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_answers,Q5,mask_quality,good,0,20,18788,25402,0.7396268,0.73744379,0.01164652,0.01225949,0.10791904,73.7444,116.465182,10.7919,51.813,94.1275
all_answers,Q5,mask_quality,soft,1,20,5684,25402,0.22376191,0.22569186,0.00974618,0.01025913,0.09872272,22.5692,97.461763,9.8723,5.2174,44.5611
all_answers,Q5,mask_quality,critical,2,20,930,25402,0.03661129,0.03686434,0.00067622,0.00071181,0.02600425,3.6864,6.762212,2.6004,0.2517,11.034
all_answers,Q6,decomposition_nonleaf,blank,-1,20,0,7893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_answers,Q6,decomposition_nonleaf,good,0,20,7205,7893,0.91283416,0.91250158,0.00388427,0.00408871,0.06232393,91.2502,38.842727,6.2324,71.5278,98.5112
all_answers,Q6,decomposition_nonleaf,soft,1,20,587,7893,0.07436969,0.07450333,0.00252934,0.00266247,0.05029257,7.4503,25.293424,5.0293,1.4888,21.5278
all_answers,Q6,decomposition_nonleaf,critical,2,20,101,7893,0.01279615,0.01299509,0.00034172,0.0003597,0.01848557,1.2995,3.417164,1.8486,0.0,6.9444
all_answers,Q7,missing_child_nonleaf,blank,-1,20,0,7893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_answers,Q7,missing_child_nonleaf,good,0,20,7113,7893,0.90117826,0.89744388,0.00811915,0.00854647,0.09010631,89.7444,81.191464,9.0106,63.8978,98.7864
all_answers,Q7,missing_child_nonleaf,soft,1,20,736,7893,0.09324718,0.09675735,0.00687288,0.00723461,0.08290281,9.6757,68.72876,8.2903,1.2136,33.5463
all_answers,Q7,missing_child_nonleaf,critical,2,20,44,7893,0.00557456,0.00579877,7.247e-05,7.629e-05,0.00851311,0.5799,0.72473,0.8513,0.0,2.9557
all_answers,Q8,leaf_stop,blank,-1,20,0,17509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_answers,Q8,leaf_stop,good,0,20,15787,17509,0.90165058,0.90127055,0.00154477,0.00162607,0.03930356,90.1271,15.447695,3.9304,83.0439,98.5932
all_answers,Q8,leaf_stop,soft,1,20,1480,17509,0.08452796,0.08470599,0.0013784,0.00145095,0.03712681,8.4706,13.784002,3.7127,0.6979,16.6496
all_answers,Q8,leaf_stop,critical,2,20,242,17509,0.01382146,0.01402346,0.00019158,0.00020166,0.01384118,1.4023,1.915783,1.3841,0.0,4.4258
q1_yes_only,Q2,mask_missing,blank,-1,20,0,23583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_yes_only,Q2,mask_missing,good,0,20,16922,23583,0.71755078,0.71733445,0.00220131,0.00231717,0.04691814,71.7334,22.01312,4.6918,63.1617,80.9167
q1_yes_only,Q2,mask_missing,soft,1,20,4427,23583,0.18771997,0.1862378,0.00170131,0.00179085,0.0412469,18.6238,17.013064,4.1247,12.1667,29.6592
q1_yes_only,Q2,mask_missing,critical,2,20,2234,23583,0.09472925,0.09642775,0.00129869,0.00136704,0.03603734,9.6428,12.986897,3.6037,5.0448,20.4403
q1_yes_only,Q3,mask_extra,blank,-1,20,0,23583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_yes_only,Q3,mask_extra,good,0,20,20825,23583,0.88305135,0.88252723,0.00103352,0.00108792,0.03214839,88.2527,10.335193,3.2148,81.0273,93.9647
q1_yes_only,Q3,mask_extra,soft,1,20,2193,23583,0.09299071,0.09267536,0.00057704,0.00060741,0.02402169,9.2675,5.770417,2.4022,5.0466,13.8638
q1_yes_only,Q3,mask_extra,critical,2,20,565,23583,0.02395794,0.02479741,0.0003834,0.00040358,0.01958053,2.4797,3.833971,1.9581,0.2786,9.5388
q1_yes_only,Q4,instance_separation,blank,-1,20,0,23583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_yes_only,Q4,instance_separation,good,0,20,21620,23583,0.91676207,0.91434672,0.00535991,0.00564201,0.07321143,91.4347,53.599138,7.3211,76.3103,99.4667
q1_yes_only,Q4,instance_separation,soft,1,20,1370,23583,0.05809269,0.05919451,0.00253168,0.00266493,0.05031584,5.9195,25.316842,5.0316,0.2667,15.9256
q1_yes_only,Q4,instance_separation,critical,2,20,593,23583,0.02514523,0.02645878,0.00087801,0.00092423,0.0296313,2.6459,8.780141,2.9631,0.2336,12.4738
q1_yes_only,Q5,mask_quality,blank,-1,20,0,23583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_yes_only,Q5,mask_quality,good,0,20,18716,23583,0.79362252,0.79145021,0.01279472,0.01346813,0.11311376,79.145,127.947218,11.3114,56.9182,99.7333
q1_yes_only,Q5,mask_quality,soft,1,20,3955,23583,0.16770555,0.16962037,0.01040289,0.01095041,0.10199455,16.962,104.028882,10.1995,0.0,39.0985
q1_yes_only,Q5,mask_quality,critical,2,20,912,23583,0.03867192,0.03892942,0.00079462,0.00083644,0.02818903,3.8929,7.946215,2.8189,0.2667,11.7309
q1_yes_only,Q6,decomposition_nonleaf,blank,-1,20,0,7697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_yes_only,Q6,decomposition_nonleaf,good,0,20,7185,7697,0.93348058,0.93320971,0.00351325,0.00369815,0.05927264,93.321,35.132463,5.9273,73.747,99.7487
q1_yes_only,Q6,decomposition_nonleaf,soft,1,20,417,7697,0.05417695,0.05418003,0.0022378,0.00235558,0.04730538,5.418,22.377992,4.7305,0.2513,19.3317
q1_yes_only,Q6,decomposition_nonleaf,critical,2,20,95,7697,0.01234247,0.01261026,0.00034478,0.00036292,0.0185682,1.261,3.447782,1.8568,0.0,6.9212
q1_yes_only,Q7,missing_child_nonleaf,blank,-1,20,0,7697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_yes_only,Q7,missing_child_nonleaf,good,0,20,7090,7697,0.92113811,0.91761368,0.00826283,0.00869771,0.09090009,91.7614,82.628271,9.09,66.2252,100.0
q1_yes_only,Q7,missing_child_nonleaf,soft,1,20,563,7697,0.07314538,0.07643866,0.00696332,0.00732981,0.08344652,7.6439,69.633213,8.3447,0.0,31.1258
q1_yes_only,Q7,missing_child_nonleaf,critical,2,20,44,7697,0.00571651,0.00594766,7.609e-05,8.01e-05,0.00872322,0.5948,0.760946,0.8723,0.0,3.0
q1_yes_only,Q8,leaf_stop,blank,-1,20,0,15886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q1_yes_only,Q8,leaf_stop,good,0,20,15640,15886,0.98451467,0.98429192,0.00023769,0.0002502,0.0154172,98.4292,2.3769,1.5417,95.1886,100.0
q1_yes_only,Q8,leaf_stop,soft,1,20,6,15886,0.00037769,0.00040864,7.3e-07,7.7e-07,0.00085561,0.0409,0.007321,0.0856,0.0,0.2782
q1_yes_only,Q8,leaf_stop,critical,2,20,240,15886,0.01510764,0.01529944,0.0002313,0.00024347,0.01520846,1.5299,2.312974,1.5208,0.0,4.8114
