id,nodes,images,q1_yes_pct,q1_no,q1_uncertain,critical_nodes_all,critical_rate_all_pct,any_issue_nodes_all,any_issue_rate_all_pct,critical_nodes_q1_yes,critical_rate_q1_yes_pct,any_issue_nodes_q1_yes,any_issue_rate_q1_yes_pct,leaf_pct,avg_depth,avg_bbox_pct
user1,1217,50,93.18,46,37,243,19.97,743,61.05,196,17.28,660,58.2,70.25,2.1027,15.7013
user2,1258,50,91.41,54,54,257,20.43,730,58.03,202,17.57,622,54.09,69.55,2.1486,17.0563
user3,1244,50,94.86,57,7,221,17.77,791,63.59,164,13.9,727,61.61,69.21,2.0973,16.0509
user4,1360,50,90.96,83,40,383,28.16,824,60.59,300,24.25,701,56.67,69.34,2.1956,14.0134
user5,1157,50,92.39,75,13,376,32.5,758,65.51,301,28.16,670,62.68,68.71,2.0968,16.3746
user6,1288,50,93.17,62,26,205,15.92,516,40.06,143,11.92,428,35.67,69.33,2.1297,14.6162
user7,1360,50,91.18,109,11,247,18.16,573,42.13,138,11.13,453,36.53,69.41,2.1301,14.3049
user8,1124,50,95.82,41,6,175,15.57,503,44.75,134,12.44,456,42.34,68.24,2.1139,15.6443
user9,1256,50,94.59,38,30,144,11.46,637,50.72,106,8.92,569,47.9,69.03,2.1943,13.5242
user10,1242,50,94.12,59,14,335,26.97,790,63.61,276,23.61,717,61.33,67.31,2.1425,15.4239
user11,1411,50,87.46,74,103,226,16.02,682,48.33,152,12.32,505,40.92,69.38,2.1538,13.0738
user12,1304,50,94.25,57,18,163,12.5,742,56.9,106,8.62,667,54.27,68.87,2.1196,14.5785
user13,1192,50,94.38,30,37,162,13.59,398,33.39,132,11.73,331,29.42,68.96,2.146,15.823
user14,1382,50,92.91,90,8,253,18.31,721,52.17,163,12.69,623,48.52,68.23,2.2258,15.081
user15,1296,50,94.06,64,13,362,27.93,833,64.27,298,24.45,756,62.02,68.98,2.216,14.4498
user16,1265,50,92.09,91,9,303,23.95,651,51.46,212,18.2,551,47.3,67.43,2.2617,15.9058
user17,1048,50,91.03,70,24,434,41.41,787,75.1,364,38.16,693,72.64,70.13,2.1975,16.041
user18,1344,50,95.83,53,3,199,14.81,580,43.15,146,11.34,524,40.68,70.01,2.1734,15.7392
user19,1460,50,94.45,69,12,237,16.23,770,52.74,168,12.18,689,49.96,68.7,2.2767,15.2697
user20,1194,50,88.94,87,45,250,20.94,682,57.12,163,15.35,550,51.79,67.42,2.2194,15.7819
,1270.1,50,92.854,65.45,25.5,258.75,20.63,685.55,54.2335,193.2,16.711,594.6,50.727,68.9245,2.16707,15.222685
