id,nodes,images,q1_yes,q1_no,q1_uncertain,q1_yes_pct,leaf_nodes,nonleaf_nodes,avg_depth,avg_bbox_pct
user1,1217,50,1134,46,37,93.18,855,362,2.103,15.701
user2,1258,50,1150,54,54,91.41,875,383,2.149,17.056
user3,1244,50,1180,57,7,94.86,861,383,2.097,16.051
user4,1360,50,1237,83,40,90.96,943,417,2.196,14.013
user5,1157,50,1069,75,13,92.39,795,362,2.097,16.375
user6,1288,50,1200,62,26,93.17,893,395,2.13,14.616
user7,1360,50,1240,109,11,91.18,944,416,2.13,14.305
user8,1124,50,1077,41,6,95.82,767,357,2.114,15.644
user9,1256,50,1188,38,30,94.59,867,389,2.194,13.524
user10,1242,50,1169,59,14,94.12,836,406,2.143,15.424
user11,1411,50,1234,74,103,87.46,979,432,2.154,13.074
user12,1304,50,1229,57,18,94.25,898,406,2.12,14.579
user13,1192,50,1125,30,37,94.38,822,370,2.146,15.823
user14,1382,50,1284,90,8,92.91,943,439,2.226,15.081
user15,1296,50,1219,64,13,94.06,894,402,2.216,14.45
user16,1265,50,1165,91,9,92.09,853,412,2.262,15.906
user17,1048,50,954,70,24,91.03,735,313,2.198,16.041
user18,1344,50,1288,53,3,95.83,941,403,2.173,15.739
user19,1460,50,1379,69,12,94.45,1003,457,2.277,15.27
user20,1194,50,1062,87,45,88.94,805,389,2.219,15.782
